,title,price,date,area-m2,owner,room,seller,sehir,ilce,mahalle
21,YUVACIK YAKACIK MAH SATILIK 4+1- 291 M2 HAVUZLU SİTEDE VİLLA,520000,2018-12-13 00:00:00,291.0,Emlakçıdan,4+1,Kurumsal,kocaeli,basiskele,yuvacik
22,Çanakkale Küçükkuyu Satılık Müstakil Yüzme Havuzlu 3+2 Villa,575000,2018-12-13 00:00:00,210.0,Emlakçıdan,3+2,Kurumsal,canakkale,ayvacik,kucukkuyu
23,AYVADA EMLAKDAN AYVALIK DA KELEPİR DUBLEKS VİLLA  ,230000,2018-12-13 00:00:00,90.0,Emlakçıdan,2+1,Kurumsal,balikesir,ayvalik,sahil
24,DİDİM AKBÜKTE SATILIK DENİZ DOĞA MANZARALI HAVUZLU VİLLA 565.000,565000,2018-12-13 00:00:00,200.0,Emlakçıdan,3+1,Kurumsal,aydin,didim,akbuk
25,Beykoz Acarkent te  5+2 Fırsat C Tipi Villa...,4490000,2018-12-13 00:00:00,450.0,Emlakçıdan,5+2,Kurumsal,istanbul,beykoz,acarlar
26,Çanakkale Küçükkuyu Satılık 3+1 Ayrı Mutfak Lüks Trıbleks,525000,2018-12-13 00:00:00,180.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
27,KIRKPINAR\u0027DA SİTE İÇERİSİNDE MÜSTAKİL HAVUZLU SATILIK VİLLA,2220000,2018-12-13 00:00:00,225.0,Emlakçıdan,4+1,Kurumsal,sakarya,sapanca,rustempasa
28,ALTINOLUK NARLIDA SATILIK DENİZE 150 METRE SIFIR VİLLA,440000,2018-12-13 00:00:00,120.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,altinoluk
29, EGE EMLAKTAN ALAÇATIDA MÜSTAKİL HAVUZLU SIFIR VİLLA KOD-012,1400000,2018-12-13 00:00:00,130.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,alacati
30,"BEYSUVERA VİLLALARI. MÜSTAKİL, ANGORA SİTE İÇERİSİNDE",4250000,2018-12-13 00:00:00,454.0,İnşaat Firmasından,6+1,Kurumsal,ankara,cankaya,mutlukent
31,EGE EMLAKTAN DALYANDA HAVUZLU SIFIR MÜSTAKİL VİLLA KOD-096,3000000,2018-12-13 00:00:00,350.0,Emlakçıdan,5+2,Kurumsal,izmir,cesme,dalyan
32,Beylikdüzü\u0027nde Havuzlu Site İçerisi\u0027nde 6+1 Satılık Villa,875000,2018-12-13 00:00:00,260.0,Emlakçıdan,6+1,Kurumsal,istanbul,beylikduzu,gurpinar
33,BEYKOZ ÇUBUKLU VADİ KONAKLARİNDA D TİPİ EN İYİ KONUM acarkent,9500000,2018-12-13 00:00:00,400.0,Emlakçıdan,4+2,Kurumsal,istanbul,beykoz,acarlar
34,Çatalca Elbasan\u0027da Satılık Doğalgazlı Ve Havuzlu Müstakil Villa,1300000,2018-12-13 00:00:00,1700.0,Emlakçıdan,4+1,Kurumsal,istanbul,catalca,elbasan
35,Çanakkale Küçükkuyu Satılık Bahçeli Denize Sıfır Müstakil Villa ,3000000,2018-12-13 00:00:00,220.0,Emlakçıdan,4+1,Kurumsal,canakkale,ayvacik,kucukkuyu
36,"Sarıyer,Zekeriyaköyde Butik Sitede Satılık Lüks İkiz Villa..",2900000,2018-12-13 00:00:00,350.0,Emlakçıdan,5+1,Kurumsal,istanbul,sariyer,uskumrukoy
37,HAKAN\u0027DAN KÜÇÜKKUYU DA*DAİRE FİYATINA*ACİL SATILIK KELEPİR VİLLA,385000,2018-12-13 00:00:00,150.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,fatih
38,AYVALIK ŞİRİNKENT\u0027TE SATILIK SÜPER LÜKS VİLLA,850000,2018-12-13 00:00:00,375.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,sahil
39,EGE EMLAK TAN RESİDERE DE HAVUZLU SIFIR MÜSTAKİL TAŞ VİLLA ,1000000,2018-12-13 00:00:00,120.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,reisdere
40,"ARTEMİS\u0027ten Sahilevlerinde,deniz manzaralı satılık villa",5250000,2018-12-13 00:00:00,450.0,Emlakçıdan,6+2,Kurumsal,izmir,narlidere,altievler
41,ÇANAKKALE AYVACIK KÜÇÜKKUYU SATILIK İKİZ VİLLA,1000000,2018-12-13 00:00:00,400.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
42,ALTINOLUKTA SATILIK VİLLA DEPREM ETÜTLÜ UYGUN FİYATA TRİPLEX,450000,2018-12-13 00:00:00,180.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,altinoluk
43,BEYTEPE BİLKENT VİLLA YAPILI ANKARA MANZARALI,790000,2018-12-13 00:00:00,450.0,Emlakçıdan,6+2,Kurumsal,ankara,cankaya,beytepe
44,ANKARA GÖLBAŞI\u0027NDA GÖL MANZARALI SATILIK SIFIR VİLLA,2900000,2018-12-13 00:00:00,700.0,Sahibinden,8+2,Bireysel,ankara,golbasi,karsiyaka
45,Palmiye Park Fiora da 4+1 Satılık Sıfır Dubleks Villa,980000,2018-12-13 00:00:00,194.0,Emlakçıdan,4+1,Kurumsal,izmir,menemen,9
46,BAĞLICA\u0027DA FULL YAPILI VİLLA,850000,2018-12-13 00:00:00,300.0,Emlakçıdan,5+1,Kurumsal,ankara,etimesgut,baglica
47,ULAŞ EMLAK\u0027TAN HAVUZLU FUL EŞYALI 3+1 VİLLA,275000,2018-12-13 00:00:00,135.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,kucukkoy
48,BALIKESİR EDREMİT AVCILAR SATILIK TRİPLEKS VİLLA,980000,2018-12-13 00:00:00,165.0,Emlakçıdan,3+2,Kurumsal,balikesir,edremit,avcilar
49,EGE EMLAK TAN ALAÇATI DA BAHÇELİ MÜSTAKİL HAVUZLU VİLLA KOD-098,1150000,2018-12-13 00:00:00,130.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,alacati
50,LEVENT BEYAZ KARANFİL DE SATILIK 300M2 BAHÇELİ FIRSAT VİLLA ,5000000,2018-12-13 00:00:00,300.0,Emlakçıdan,5+1,Kurumsal,istanbul,besiktas,levent
51,Çanakkale Küçükkuyu Satılık Site İçinde Bahçeli Forleks Villa,450000,2018-12-13 00:00:00,180.0,Emlakçıdan,5+1,Kurumsal,canakkale,ayvacik,kucukkuyu
52,HAKAN\u0027DAN AKÇAY DA**DENİZE NAZIR**5+2 UYGUN*KELEPİR LÜKS VİLLA**,950000,2018-12-13 00:00:00,340.0,Emlakçıdan,5+2,Kurumsal,balikesir,edremit,akcay
53,Çeşme Boyalık Bölgesinde 900m2 Arsa İçinde Deniz Manzaralı Villa,3450000,2018-12-13 00:00:00,400.0,Emlakçıdan,5+1,Kurumsal,izmir,cesme,ismet
54,"ACİL ÇAYYOLU 4 KATLI, ASANSÖRLÜ ,SİTEDE ,MÜSTAKİL VİLLA",1390000,2018-12-13 00:00:00,430.0,Emlakçıdan,5+2,Kurumsal,ankara,cankaya,cayyolu
55,DİDİM SATILIK DENİZE 500M  ULTRA LÜKS 3+1 MÜSTAKİL VİLLA,640000,2018-12-13 00:00:00,180.0,Emlakçıdan,3+1,Kurumsal,aydin,didim,mavisehir
56,RİNNOVA İNCEK SATILIK  LÜKS VİLLA PROJESİ,2750000,2018-12-13 00:00:00,422.0,İnşaat Firmasından,5+1,Kurumsal,ankara,golbasi,incek
57,"Artemis\u0027ten çift yol cepheli,3 dönüm içinde merkezi villa",6750000,2018-12-13 00:00:00,450.0,Emlakçıdan,6+2,Kurumsal,izmir,narlidere,sahilevleri
58,"Angora Evleri, Köşe ve Tam Müstakil, Geniş Bahçeli Villa",2750000,2018-12-13 00:00:00,420.0,Emlakçıdan,7+1,Kurumsal,ankara,cankaya,mutlukent
59,"BEYSU VERA VİLLALARI. ÖZEL GÜVENLİKLİ SİTEDE, ANGORA EVLERİ ",4250000,2018-12-13 00:00:00,454.0,İnşaat Firmasından,6+1,Kurumsal,ankara,cankaya,cayyolu
60,KAYALAR DA ÖZEL YAPIM OLİMPİK HAVUZLU SATILIK  TAŞ EV,750000,2018-12-13 00:00:00,140.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kayalar
61,SAHİBİNDEN BALIKESİR AYVALIK ŞİRİNKENT\u0027TE SATILIK VİLLA,850000,2018-12-13 00:00:00,145.0,Sahibinden,3+1,Bireysel,balikesir,ayvalik,sahil
62,SAYKAPPARK\u0027TA EVİNİZ HAZIR...FIRSATLAR DEVAM EDİYOR!,1400000,2018-12-13 00:00:00,230.0,İnşaat Firmasından,4+1,Kurumsal,izmir,guzelbahce,maltepe
63,EGE EMLAK TAN ŞİFNE DE MÜSTAKİL LÜKS VİLLA KOD-149,1395000,2018-12-13 00:00:00,150.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,sifne
64,EGE EMLAK TAN ALAÇATIDA HAVUZ DOĞA HUZUR MÜSTAKİL BAHÇELİ VİLLA ,1650000,2018-12-13 00:00:00,130.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
65,PARK VİLLAGE TEK KATLI VİLLAMI SATIYORUM,2900000,2018-12-13 00:00:00,345.0,Sahibinden,5+1,Bireysel,istanbul,buyukcekmece,karaagac
66,AYVADA EMLAK DAN ALTINOVA SİTE İÇERİSİNDE TRİPLEKS  VİLLA   ,275000,2018-12-13 00:00:00,120.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,altinova
67,Levent Metro Yürüme Tadilatlı Geniş Arka-Ön Bahçe Otopark Satılk,4250000,2018-12-13 00:00:00,220.0,Emlakçıdan,3+1,Kurumsal,istanbul,besiktas,levent
68,ADEN Çamlıdere\u0027de 4+1 Son Villalar,400000,2018-12-13 00:00:00,200.0,İnşaat Firmasından,4+1,Kurumsal,ankara,camlidere,kayabasi
69,BODRUM GÜNDOĞAN MERKEZDE \u0027\u0027BUTİK BİR SİTEDE\u0027\u0027 SATILIK VİLLA,790000,2018-12-13 00:00:00,170.0,Emlakçıdan,3+1,Kurumsal,mugla,bodrum,gundogan
70,BODRUM GÜNDOĞAN MERKEZ\u0027de SİTE İÇİ TAM MÜSTAKİL VİLLA,1650000,2018-12-13 00:00:00,182.0,Emlakçıdan,3+1,Kurumsal,mugla,bodrum,gundogan
71,Bodrum Yalıkavak\u0027ta  Marinaya Yürüme Mesafesinde  Müstakil Villa,1750000,2018-12-13 00:00:00,160.0,Emlakçıdan,4+1,Kurumsal,mugla,bodrum,yalikavak
72,AYVADA EMLAK DAN CUNDA ADASINDA  LÜX DUBLEKS  VİLLALAR ,1150000,2018-12-13 00:00:00,200.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,mithatpasa
73,KUŞADASI BEYAZ EMLAK\u0027TAN SATILIK DENİZ MANZARALI VİLLA,450000,2018-12-13 00:00:00,140.0,Emlakçıdan,3+1,Kurumsal,aydin,kusadasi,kadinlar
74,ALTINOLUK SATILIK 1266 M2 ARSADA DENİZ MANZARALI MÜSTAKİL VİLLA,1300000,2018-12-13 00:00:00,300.0,Emlakçıdan,3+2,Kurumsal,balikesir,edremit,altinoluk
75,Sahibinden İncek Kargen de Satılık 4+2 Konumu Güzel İkiz Villa,905000,2018-12-13 00:00:00,272.0,Sahibinden,4+2,Bireysel,ankara,golbasi,tulumtas
76,ULAŞ EMLAK\u0027TAN DENİZE 100 METRE KELEPİR FİYATA VİLLA,225000,2018-12-13 00:00:00,135.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,kucukkoy
77,"Angora Evleri Yapısız, Bodrumlu, Arkası açık Villa ",2150000,2018-12-13 00:00:00,420.0,Emlakçıdan,7+1,Kurumsal,ankara,cankaya,mutlukent
78,KORUCUĞUN EN GÜZEL SEMTİNDE LÜX HAVUZLU MÜSTAKİL VİLLALAR Favori,750000,2018-12-13 00:00:00,150.0,Emlakçıdan,4+1,Kurumsal,sakarya,adapazari,korucuk
79,GÜRE SSK MEVKİNDE SATILIK 3+1 LÜKS VİLLA DENİZE 300 METRE,550000,2018-12-13 00:00:00,140.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
80,Angora Evleri Çeşmeli Caddesi\u0027nde Yapılı ve Büyük Bahçeli Villa,3900000,2018-12-13 00:00:00,560.0,Emlakçıdan,6+1,Kurumsal,ankara,cankaya,mutlukent
81,EGE EMLAK TAN ILICA ŞANTİYE DE PLAJA 50mt VİLLA KOD- 034,7750000,2018-12-13 00:00:00,250.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,celal
82,EGE EMLAK TAN LEBİDERYA DENİZ MANZARALI KUPON MÜLK KOD- 200,3650000,2018-12-13 00:00:00,250.0,Emlakçıdan,3+2,Kurumsal,izmir,cesme,16
83,"ESKİŞEHİR SÜMERDE  SAHİBİNDEN ,BAHÇELİ ASANSÖRLÜ TRİPLEKS VİLLA",1390000,2018-12-13 00:00:00,382.0,Sahibinden,4+2,Bireysel,eskisehir,odunpazari,sumer
84,Angora Evleri\u0027nde Tapulu Full Yapılı Mükemmel Konumlu Villa ,2650000,2018-12-13 00:00:00,430.0,Emlakçıdan,7+2,Kurumsal,ankara,cankaya,mutlukent
85,Silivri Selimpaşa\u0027da Satılık Villa  Gardenlife Silivri ,1100000,2018-12-13 00:00:00,185.0,Emlakçıdan,3+1,Kurumsal,istanbul,silivri,selimpasa
86,GÖLBAŞI HACIHASANDA SATILIK TEK KAT HAVUZLU VİLLA,999000,2018-12-13 00:00:00,185.0,Emlakçıdan,3+1,Kurumsal,ankara,golbasi,hacihasan
87,BELEKTE 4+1 SATILIK VİLLA,425000,2018-12-13 00:00:00,240.0,Emlakçıdan,4+1,Bireysel,antalya,serik,kadriye
88,Çatalca Rönesansa Satılık Müstakil Villa ,1100000,2018-12-13 00:00:00,1900.0,Emlakçıdan,3+2,Kurumsal,istanbul,catalca,elbasan
89,EGE EMLAKTAN ILICA YILDIZBURNU MEVKİİ DENİZE YAKIN KOD- 075,1600000,2018-12-13 00:00:00,120.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,ilica
90,ANKORMAN SİTESİNDE KÖŞEBAŞI LÜKS YAPILI SATILIK VİLLA ,6150000,2018-12-13 00:00:00,550.0,Emlakçıdan,7+2,Bireysel,ankara,cankaya,mutlukent
91,Çeşme Reisdere Havuzlu Sitede Deniz Manzaralı Masrafsız Lüx Ev,880000,2018-12-13 00:00:00,110.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,reisdere
92,ANKARA\u0027NIN ULTRA LÜKS VİLLALARI TERRACE MOGAN KONAKLARI,2250000,2018-12-13 00:00:00,800.0,İnşaat Firmasından,8+2,Kurumsal,ankara,golbasi,karsiyaka
93,Bağlıca Yüzme Havuzlu Saunalı Özel Tasarımlı 6+1 Villa IRMAK GYD,999000,2018-12-13 00:00:00,475.0,Emlakçıdan,6+1,Kurumsal,ankara,etimesgut,baglica
94,İstanbul Sarıyer uskumruköy  5+1 lüks tripleks villa yeni proje,3250000,2018-12-13 00:00:00,23889.0,Emlakçıdan,5+1,Kurumsal,istanbul,sariyer,uskumrukoy
95,ÇUBUK YENİCE Y.BEYAZIT ÜNÜVERSİTESİNE SINIR VİLLA,2750000,2018-12-13 00:00:00,14400.0,Emlakçıdan,9+3,Kurumsal,ankara,cubuk,yenice
96,Çanakkale Küçükkuyu Satılık Müstakil Bahçeli Villalar,1150000,2018-12-13 00:00:00,300.0,Emlakçıdan,5+2,Kurumsal,canakkale,ayvacik,kucukkuyu
97,Ultra lüks Müstakil Havuzlu Full Eşyalı Villa,1395000,2018-12-13 00:00:00,270.0,Sahibinden,3+1,Bireysel,izmir,cesme,sifne
98,ÇAYYOLU GÜLCE VİLLALARINDA YAPILI ACİL SATILIK MÜSTAKİL VİLLA,1690000,2018-12-13 00:00:00,475.0,Emlakçıdan,6+1,Kurumsal,ankara,cankaya,prof
99,"Artemisten Güzelbahçede 1dönüm içinde,denize nazır,havuzlu villa",5000000,2018-12-13 00:00:00,500.0,Emlakçıdan,4+1,Kurumsal,izmir,guzelbahce,maltepe
100,KUĞU EVLERİ SATILIK 5+2 BAKIMLI MASRAFSIZ VİLLA TEPEÖREN,2190000,2018-12-13 00:00:00,355.0,Emlakçıdan,5+2,Kurumsal,istanbul,tuzla,tepeoren
101,DALAMAN ATAKENT MAHALLESİNDE SATILIK 160 M2 LÜX DUBLEX VİLLA,610000,2018-12-13 00:00:00,165.0,Emlakçıdan,3+1,Kurumsal,mugla,dalaman,atakent
102,SAHİBİNDEN MUĞLA-BODRUM-YALIÇİFTLİK MÜSTAKİL SATILIK VİLLA,1250000,2018-12-13 00:00:00,300.0,Sahibinden,4+1,Bireysel,mugla,bodrum,yali
103,Palamutbükü KÖY KENT\u0027te Yeni Yapilmis Muhtesem Villa,895000,2018-12-13 00:00:00,210.0,Emlakçıdan,3+1,Kurumsal,mugla,datca,yaka
104,AYVALIK ÇAMLIK LAKA\u0027DA SATILIK VİLLA,575000,2018-12-13 00:00:00,340.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,sefa
105,EGE EMLAK\u0027TAN ALAÇATI ÇAMLIKYOLDA MÜSTAKİL HAVUZLU BAHÇELİ VİLLA,1800000,2018-12-13 00:00:00,140.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
106,KALYON EMLAKTAN BOYALIK\u0027TA SATILIK  SİTEDE 3+1 MASRAFSIZ VİLLA,875000,2018-12-13 00:00:00,130.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,boyalik
107,Bodrum Ortakent\u0027te Satılık Müstakil Villa,1090000,2018-12-13 00:00:00,141.0,Emlakçıdan,4+1,Kurumsal,mugla,bodrum,ortakentyahsi
108,ALTINOLUK SATILIK DENİZ MANZARALI 4+2 SÜPER LÜKS VİLLA,800000,2018-12-13 00:00:00,220.0,Emlakçıdan,4+2,Kurumsal,balikesir,edremit,altinoluk
109,Antalya YeşilBayır\u0027da Mikros Yakını 4+1 Dubleks Villa 330m\u0027,675000,2018-12-13 00:00:00,330.0,Emlakçıdan,4+1,Bireysel,antalya,dosemealti,yesilbayir
110,HAKAN\u0027DAN GÜRE DE LÜKS VİLLA İDDAA EDİYORUZ BUNDAN UYGUNU YOK!!,650000,2018-12-13 00:00:00,180.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
111,GÜRE\u0027DE DENİZ SIFIR KONUMDA SATILIK 3+1 ULTRA LÜKS VİLLALAR,750000,2018-12-13 00:00:00,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
112,İNCEK\u0027DE 3.5 DÖNÜM ARSA ÜZERİNDE MUHTEŞEM MALİKANE,6750000,2018-12-13 00:00:00,3500.0,Emlakçıdan,8+2,Kurumsal,ankara,golbasi,incek
113,ÇEŞME ÇİFTLİKKÖYDE SATILIK 4+1 MÜSTAKİL HAVUZLU VİLLA,1450000,2018-12-13 00:00:00,150.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,ciftlik
114,"7+1 Müstakil Villa, Kocaeli Başiskele....",2350000,2018-12-13 00:00:00,455.0,Emlakçıdan,7+1,Kurumsal,kocaeli,basiskele,korfez
115,EGE EMLAK TAN ALAÇATI ÇAMLIKYOL HAVUZLU LÜKS SIFIR VİLLA KOD- 92,1700000,2018-12-13 00:00:00,140.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
116,EGE EMLAK TAN MAMURBABA MEVKİİ HAVUZLU MÜSTAKİL LÜKS VİLLA,3850000,2018-12-13 00:00:00,250.0,Emlakçıdan,5+1,Kurumsal,izmir,cesme,cakabey
117,TÜRKONUTDA ERSEGÜN VİLLALARINDA 5+1 330 M2 PIRIL PIRIL VİLLA,650000,2018-12-13 00:00:00,330.0,Emlakçıdan,5+1,Kurumsal,ankara,cankaya,dodurga
118,ESKİ DATÇA\u0027da SATILIK HUZURLU Site İçerisinde BAKIMLI TAŞ VİLLA,650000,2018-12-13 00:00:00,117.0,Emlakçıdan,2+1,Kurumsal,mugla,datca,resadiye
119,ALTINOLUK\u0027TA SATILIK BAĞIMSIZ MÜSTAKİL 3+1 ULTRA LÜKS VİLLA,700000,2018-12-13 00:00:00,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,altinoluk
120,Çanakkale Küçükkuyu Satılık Müstakil Villa Separate villa,900000,2018-12-13 00:00:00,180.0,Emlakçıdan,4+1,Kurumsal,canakkale,ayvacik,kucukkuyu
121,HAKAN\u0027DAN GÜRE DE**KAZDAĞLARININ KALBİNDE SIRADIŞI PROJE**,550000,2018-12-13 00:00:00,130.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
122,ARTEMİS \u0027TEN 11 DÖNÜM İÇİNDE HAZIR 2 VİLLA+1 VİLLA ARSASI,27500000,2018-12-13 00:00:00,11000.0,Emlakçıdan,5+1,Kurumsal,izmir,narlidere,sahilevleri
123,SARIYER YENİ MAHALLE DE BOĞAZ MANZARALİ FIRSAT MÜSTAKİL VİLLA ,11730000,2018-12-13 00:00:00,550.0,Emlakçıdan,7+2,Kurumsal,istanbul,sariyer,yeni
124,Göktürk Kemer Country orman ve göl manzaralı 5+2 Lüks  villa,9000000,2018-12-13 00:00:00,300.0,Emlakçıdan,5+2,Kurumsal,istanbul,eyup,gokturk
125,ULAŞ EMLAK\u0027TAN 3+1 DUBLEKS BAKIMLI VİLLA 300 YERİNE 230 BİN TL,230000,2018-12-13 00:00:00,135.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,kucukkoy
126,Sarıyer Maden Bölgesinde Yeni Projede 3+1 Bahçe dubleks,1950000,2018-12-13 00:00:00,160.0,Emlakçıdan,3+1,Kurumsal,istanbul,sariyer,maden
127,AYVADA EMLAK DAN YÜZME HAVUZLU SİTEDE  LÜKS DUBLEKS  VİLLALAR ,820000,2018-12-13 00:00:00,175.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,sahil
128,EGE EMLAK TAN ÇAMLIKYOL MEVKİİ HAVUZLU MÜSTAKİL VİLLA KOD-142,890000,2018-12-13 00:00:00,150.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
129,HAKAN\u0027DAN GÜRE DE DENİZE SIFIR SİTE İÇİNDE ULTRA LÜKS VİLLAA!!!,750000,2018-12-13 00:00:00,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
130,ÇUBUKLU Sahilde FULL BOĞAZ MANZARALI Satılık KUPON VİLLA,18000000,2018-12-13 00:00:00,600.0,Emlakçıdan,6+2,Kurumsal,istanbul,beykoz,cubuklu
131,"Angora Evleri\u0027nde Tapulu,Full Yapılı,Büyük Bahçeli,3 Katlı Villa",3275000,2018-12-13 00:00:00,345.0,Emlakçıdan,6+1,Kurumsal,ankara,cankaya,mutlukent
132,ELIT GAYRİMENKUL\u0027DEN SOSYAL TESİSLİ SİTE İÇERİSİNDE VİLLA...,1375000,2018-12-13 00:00:00,320.0,Emlakçıdan,5+1,Kurumsal,istanbul,sariyer,zekeriyakoy
133,Seferihisar Ulamış Güzel Çiftlik Konutlarında Özel Yapım Villa,1550000,2018-12-13 00:00:00,500.0,Emlakçıdan,7+1,Kurumsal,izmir,seferihisar,ulamis
134,Kuşadası Fesci Konakları\u0027nda Bahçeli Villa !,1290000,2018-12-13 00:00:00,320.0,Emlakçıdan,5+2,Kurumsal,aydin,kusadasi,turkmen
