,title,price,date,area-m2,owner,room,seller,sehir,ilce,mahalle
13,SON VİLLALAR LÜKS- GÖL MANZARALI* KUĞU GÖLÜ VİLLALARI,1.500.000,13.12.2018,538.0,Emlakçıdan,6+1,Kurumsal,ankara,golbasi,karsiyaka
14,CUNDA YENİ YOLDA EMSALSİZ DENİZE SIFIR KONUMLU TRİPLEKS VİLLA  ,1.600.000,13.12.2018,300.0,Emlakçıdan,3+2,Kurumsal,balikesir,ayvalik,mithatpasa
15,"Dalyanda Denize Yakın, Site İçi, 3+1, 90m2, Manzaralı Villa",650.000,13.12.2018,90.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,16
16,CEM EMLAK TAN FIRSAT !!!GÜREDE 4+1 MÜSTAKİL VİLLA ,375.000,13.12.2018,180.0,Emlakçıdan,4+1,Kurumsal,balikesir,edremit,gure
17,ÇANAKKALE KÜÇÜKKUYU MÜSTAKİL TRİPLEKS VİLLA,850.000,13.12.2018,180.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
18,PANOS\u0027TAN GÜMÜLDÜR\u0027DE HAVUZLU VE DENİZE SIFIR 4+1 YAZLIK VİLLA,1.200.000,13.12.2018,250.0,Emlakçıdan,4+1,Kurumsal,izmir,menderes,gumuldur
19,EGE EMLAK TAN ŞİFNE DE HAVUZLU SİTE İÇİNDE KOD- 045,800.000,13.12.2018,150.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,sifne
20,YILDIZLAR YERYÜZÜNE İNDİ . YILDIZLARDAN BİRİ SİZİN OLSUN,2.250.000,13.12.2018,800.0,İnşaat Firmasından,8+2,Kurumsal,ankara,golbasi,karsiyaka
21,YUVACIK YAKACIK MAH SATILIK 4+1- 291 M2 HAVUZLU SİTEDE VİLLA,520.000,13.12.2018,291.0,Emlakçıdan,4+1,Kurumsal,kocaeli,basiskele,yuvacik
22,Çanakkale Küçükkuyu Satılık Müstakil Yüzme Havuzlu 3+2 Villa,575.000,13.12.2018,210.0,Emlakçıdan,3+2,Kurumsal,canakkale,ayvacik,kucukkuyu
23,AYVADA EMLAKDAN AYVALIK DA KELEPİR DUBLEKS VİLLA  ,230.000,13.12.2018,90.0,Emlakçıdan,2+1,Kurumsal,balikesir,ayvalik,sahil
24,DİDİM AKBÜKTE SATILIK DENİZ DOĞA MANZARALI HAVUZLU VİLLA 565.000,565.000,13.12.2018,200.0,Emlakçıdan,3+1,Kurumsal,aydin,didim,akbuk
25,Beykoz Acarkent te  5+2 Fırsat C Tipi Villa...,4.490.000,13.12.2018,450.0,Emlakçıdan,5+2,Kurumsal,istanbul,beykoz,acarlar
26,Çanakkale Küçükkuyu Satılık 3+1 Ayrı Mutfak Lüks Trıbleks,525.000,13.12.2018,180.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
27,KIRKPINAR\u0027DA SİTE İÇERİSİNDE MÜSTAKİL HAVUZLU SATILIK VİLLA,2.220.000,13.12.2018,225.0,Emlakçıdan,4+1,Kurumsal,sakarya,sapanca,rustempasa
28,ALTINOLUK NARLIDA SATILIK DENİZE 150 METRE SIFIR VİLLA,440.000,13.12.2018,120.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,altinoluk
29, EGE EMLAKTAN ALAÇATIDA MÜSTAKİL HAVUZLU SIFIR VİLLA KOD-012,1.400.000,13.12.2018,130.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,alacati
30,"BEYSUVERA VİLLALARI. MÜSTAKİL, ANGORA SİTE İÇERİSİNDE",4.250.000,13.12.2018,454.0,İnşaat Firmasından,6+1,Kurumsal,ankara,cankaya,mutlukent
31,EGE EMLAKTAN DALYANDA HAVUZLU SIFIR MÜSTAKİL VİLLA KOD-096,3.000.000,13.12.2018,350.0,Emlakçıdan,5+2,Kurumsal,izmir,cesme,dalyan
32,Beylikdüzü\u0027nde Havuzlu Site İçerisi\u0027nde 6+1 Satılık Villa,875.000,13.12.2018,260.0,Emlakçıdan,6+1,Kurumsal,istanbul,beylikduzu,gurpinar
33,BEYKOZ ÇUBUKLU VADİ KONAKLARİNDA D TİPİ EN İYİ KONUM acarkent,9.500.000,13.12.2018,400.0,Emlakçıdan,4+2,Kurumsal,istanbul,beykoz,acarlar
34,Çatalca Elbasan\u0027da Satılık Doğalgazlı Ve Havuzlu Müstakil Villa,1.300.000,13.12.2018,1700.0,Emlakçıdan,4+1,Kurumsal,istanbul,catalca,elbasan
35,Çanakkale Küçükkuyu Satılık Bahçeli Denize Sıfır Müstakil Villa ,3.000.000,13.12.2018,220.0,Emlakçıdan,4+1,Kurumsal,canakkale,ayvacik,kucukkuyu
36,"Sarıyer,Zekeriyaköyde Butik Sitede Satılık Lüks İkiz Villa..",2.900.000,13.12.2018,350.0,Emlakçıdan,5+1,Kurumsal,istanbul,sariyer,uskumrukoy
37,HAKAN\u0027DAN KÜÇÜKKUYU DA*DAİRE FİYATINA*ACİL SATILIK KELEPİR VİLLA,385.000,13.12.2018,150.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,fatih
38,AYVALIK ŞİRİNKENT\u0027TE SATILIK SÜPER LÜKS VİLLA,850.000,13.12.2018,375.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,sahil
39,EGE EMLAK TAN RESİDERE DE HAVUZLU SIFIR MÜSTAKİL TAŞ VİLLA ,1.000.000,13.12.2018,120.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,reisdere
40,"ARTEMİS\u0027ten Sahilevlerinde,deniz manzaralı satılık villa",5.250.000,13.12.2018,450.0,Emlakçıdan,6+2,Kurumsal,izmir,narlidere,altievler
41,ÇANAKKALE AYVACIK KÜÇÜKKUYU SATILIK İKİZ VİLLA,1.000.000,13.12.2018,400.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
42,ALTINOLUKTA SATILIK VİLLA DEPREM ETÜTLÜ UYGUN FİYATA TRİPLEX,450.000,13.12.2018,180.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,altinoluk
43,BEYTEPE BİLKENT VİLLA YAPILI ANKARA MANZARALI,790.000,13.12.2018,450.0,Emlakçıdan,6+2,Kurumsal,ankara,cankaya,beytepe
44,ANKARA GÖLBAŞI\u0027NDA GÖL MANZARALI SATILIK SIFIR VİLLA,2.900.000,13.12.2018,700.0,Sahibinden,8+2,Bireysel,ankara,golbasi,karsiyaka
45,Palmiye Park Fiora da 4+1 Satılık Sıfır Dubleks Villa,980.000,13.12.2018,194.0,Emlakçıdan,4+1,Kurumsal,izmir,menemen,9
46,BAĞLICA\u0027DA FULL YAPILI VİLLA,850.000,13.12.2018,300.0,Emlakçıdan,5+1,Kurumsal,ankara,etimesgut,baglica
47,ULAŞ EMLAK\u0027TAN HAVUZLU FUL EŞYALI 3+1 VİLLA,275.000,13.12.2018,135.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,kucukkoy
48,BALIKESİR EDREMİT AVCILAR SATILIK TRİPLEKS VİLLA,980.000,13.12.2018,165.0,Emlakçıdan,3+2,Kurumsal,balikesir,edremit,avcilar
49,EGE EMLAK TAN ALAÇATI DA BAHÇELİ MÜSTAKİL HAVUZLU VİLLA KOD-098,1.150.000,13.12.2018,130.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,alacati
50,LEVENT BEYAZ KARANFİL DE SATILIK 300M2 BAHÇELİ FIRSAT VİLLA ,5.000.000,13.12.2018,300.0,Emlakçıdan,5+1,Kurumsal,istanbul,besiktas,levent
51,Çanakkale Küçükkuyu Satılık Site İçinde Bahçeli Forleks Villa,450.000,13.12.2018,180.0,Emlakçıdan,5+1,Kurumsal,canakkale,ayvacik,kucukkuyu
52,HAKAN\u0027DAN AKÇAY DA**DENİZE NAZIR**5+2 UYGUN*KELEPİR LÜKS VİLLA**,950.000,13.12.2018,340.0,Emlakçıdan,5+2,Kurumsal,balikesir,edremit,akcay
53,Çeşme Boyalık Bölgesinde 900m2 Arsa İçinde Deniz Manzaralı Villa,3.450.000,13.12.2018,400.0,Emlakçıdan,5+1,Kurumsal,izmir,cesme,ismet
54,"ACİL ÇAYYOLU 4 KATLI, ASANSÖRLÜ ,SİTEDE ,MÜSTAKİL VİLLA",1.390.000,13.12.2018,430.0,Emlakçıdan,5+2,Kurumsal,ankara,cankaya,cayyolu
55,DİDİM SATILIK DENİZE 500M  ULTRA LÜKS 3+1 MÜSTAKİL VİLLA,640.000,13.12.2018,180.0,Emlakçıdan,3+1,Kurumsal,aydin,didim,mavisehir
56,RİNNOVA İNCEK SATILIK  LÜKS VİLLA PROJESİ,2.750.000,13.12.2018,422.0,İnşaat Firmasından,5+1,Kurumsal,ankara,golbasi,incek
57,"Artemis\u0027ten çift yol cepheli,3 dönüm içinde merkezi villa",6.750.000,13.12.2018,450.0,Emlakçıdan,6+2,Kurumsal,izmir,narlidere,sahilevleri
58,"Angora Evleri, Köşe ve Tam Müstakil, Geniş Bahçeli Villa",2.750.000,13.12.2018,420.0,Emlakçıdan,7+1,Kurumsal,ankara,cankaya,mutlukent
59,"BEYSU VERA VİLLALARI. ÖZEL GÜVENLİKLİ SİTEDE, ANGORA EVLERİ ",4.250.000,13.12.2018,454.0,İnşaat Firmasından,6+1,Kurumsal,ankara,cankaya,cayyolu
60,KAYALAR DA ÖZEL YAPIM OLİMPİK HAVUZLU SATILIK  TAŞ EV,750.000,13.12.2018,140.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kayalar
61,SAHİBİNDEN BALIKESİR AYVALIK ŞİRİNKENT\u0027TE SATILIK VİLLA,850.000,13.12.2018,145.0,Sahibinden,3+1,Bireysel,balikesir,ayvalik,sahil
62,SAYKAPPARK\u0027TA EVİNİZ HAZIR...FIRSATLAR DEVAM EDİYOR!,1.400.000,13.12.2018,230.0,İnşaat Firmasından,4+1,Kurumsal,izmir,guzelbahce,maltepe
63,EGE EMLAK TAN ŞİFNE DE MÜSTAKİL LÜKS VİLLA KOD-149,1.395.000,13.12.2018,150.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,sifne
64,EGE EMLAK TAN ALAÇATIDA HAVUZ DOĞA HUZUR MÜSTAKİL BAHÇELİ VİLLA ,1.650.000,13.12.2018,130.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
65,PARK VİLLAGE TEK KATLI VİLLAMI SATIYORUM,2.900.000,13.12.2018,345.0,Sahibinden,5+1,Bireysel,istanbul,buyukcekmece,karaagac
66,AYVADA EMLAK DAN ALTINOVA SİTE İÇERİSİNDE TRİPLEKS  VİLLA   ,275.000,13.12.2018,120.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,altinova
67,Levent Metro Yürüme Tadilatlı Geniş Arka-Ön Bahçe Otopark Satılk,4.250.000,13.12.2018,220.0,Emlakçıdan,3+1,Kurumsal,istanbul,besiktas,levent
68,ADEN Çamlıdere\u0027de 4+1 Son Villalar,400.000,13.12.2018,200.0,İnşaat Firmasından,4+1,Kurumsal,ankara,camlidere,kayabasi
69,BODRUM GÜNDOĞAN MERKEZDE \u0027\u0027BUTİK BİR SİTEDE\u0027\u0027 SATILIK VİLLA,790.000,13.12.2018,170.0,Emlakçıdan,3+1,Kurumsal,mugla,bodrum,gundogan
70,BODRUM GÜNDOĞAN MERKEZ\u0027de SİTE İÇİ TAM MÜSTAKİL VİLLA,1.650.000,13.12.2018,182.0,Emlakçıdan,3+1,Kurumsal,mugla,bodrum,gundogan
71,Bodrum Yalıkavak\u0027ta  Marinaya Yürüme Mesafesinde  Müstakil Villa,1.750.000,13.12.2018,160.0,Emlakçıdan,4+1,Kurumsal,mugla,bodrum,yalikavak
72,AYVADA EMLAK DAN CUNDA ADASINDA  LÜX DUBLEKS  VİLLALAR ,1.150.000,13.12.2018,200.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,mithatpasa
73,KUŞADASI BEYAZ EMLAK\u0027TAN SATILIK DENİZ MANZARALI VİLLA,450.000,13.12.2018,140.0,Emlakçıdan,3+1,Kurumsal,aydin,kusadasi,kadinlar
74,ALTINOLUK SATILIK 1266 M2 ARSADA DENİZ MANZARALI MÜSTAKİL VİLLA,1.300.000,13.12.2018,300.0,Emlakçıdan,3+2,Kurumsal,balikesir,edremit,altinoluk
75,Sahibinden İncek Kargen de Satılık 4+2 Konumu Güzel İkiz Villa,905.000,13.12.2018,272.0,Sahibinden,4+2,Bireysel,ankara,golbasi,tulumtas
76,ULAŞ EMLAK\u0027TAN DENİZE 100 METRE KELEPİR FİYATA VİLLA,225.000,13.12.2018,135.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,kucukkoy
77,"Angora Evleri Yapısız, Bodrumlu, Arkası açık Villa ",2.150.000,13.12.2018,420.0,Emlakçıdan,7+1,Kurumsal,ankara,cankaya,mutlukent
78,KORUCUĞUN EN GÜZEL SEMTİNDE LÜX HAVUZLU MÜSTAKİL VİLLALAR Favori,750.000,13.12.2018,150.0,Emlakçıdan,4+1,Kurumsal,sakarya,adapazari,korucuk
79,GÜRE SSK MEVKİNDE SATILIK 3+1 LÜKS VİLLA DENİZE 300 METRE,550.000,13.12.2018,140.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
80,Angora Evleri Çeşmeli Caddesi\u0027nde Yapılı ve Büyük Bahçeli Villa,3.900.000,13.12.2018,560.0,Emlakçıdan,6+1,Kurumsal,ankara,cankaya,mutlukent
81,EGE EMLAK TAN ILICA ŞANTİYE DE PLAJA 50mt VİLLA KOD- 034,7.750.000,13.12.2018,250.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,celal
82,EGE EMLAK TAN LEBİDERYA DENİZ MANZARALI KUPON MÜLK KOD- 200,3.650.000,13.12.2018,250.0,Emlakçıdan,3+2,Kurumsal,izmir,cesme,16
83,"ESKİŞEHİR SÜMERDE  SAHİBİNDEN ,BAHÇELİ ASANSÖRLÜ TRİPLEKS VİLLA",1.390.000,13.12.2018,382.0,Sahibinden,4+2,Bireysel,eskisehir,odunpazari,sumer
84,Angora Evleri\u0027nde Tapulu Full Yapılı Mükemmel Konumlu Villa ,2.650.000,13.12.2018,430.0,Emlakçıdan,7+2,Kurumsal,ankara,cankaya,mutlukent
85,Silivri Selimpaşa\u0027da Satılık Villa  Gardenlife Silivri ,1.100.000,13.12.2018,185.0,Emlakçıdan,3+1,Kurumsal,istanbul,silivri,selimpasa
86,GÖLBAŞI HACIHASANDA SATILIK TEK KAT HAVUZLU VİLLA,999.000,13.12.2018,185.0,Emlakçıdan,3+1,Kurumsal,ankara,golbasi,hacihasan
87,BELEKTE 4+1 SATILIK VİLLA,425.000,13.12.2018,240.0,Emlakçıdan,4+1,Bireysel,antalya,serik,kadriye
88,Çatalca Rönesansa Satılık Müstakil Villa ,1.100.000,13.12.2018,1900.0,Emlakçıdan,3+2,Kurumsal,istanbul,catalca,elbasan
89,EGE EMLAKTAN ILICA YILDIZBURNU MEVKİİ DENİZE YAKIN KOD- 075,1.600.000,13.12.2018,120.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,ilica
90,ANKORMAN SİTESİNDE KÖŞEBAŞI LÜKS YAPILI SATILIK VİLLA ,6.150.000,13.12.2018,550.0,Emlakçıdan,7+2,Bireysel,ankara,cankaya,mutlukent
91,Çeşme Reisdere Havuzlu Sitede Deniz Manzaralı Masrafsız Lüx Ev,880.000,13.12.2018,110.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,reisdere
92,ANKARA\u0027NIN ULTRA LÜKS VİLLALARI TERRACE MOGAN KONAKLARI,2.250.000,13.12.2018,800.0,İnşaat Firmasından,8+2,Kurumsal,ankara,golbasi,karsiyaka
93,Bağlıca Yüzme Havuzlu Saunalı Özel Tasarımlı 6+1 Villa IRMAK GYD,999.000,13.12.2018,475.0,Emlakçıdan,6+1,Kurumsal,ankara,etimesgut,baglica
94,İstanbul Sarıyer uskumruköy  5+1 lüks tripleks villa yeni proje,3.250.000,13.12.2018,23889.0,Emlakçıdan,5+1,Kurumsal,istanbul,sariyer,uskumrukoy
95,ÇUBUK YENİCE Y.BEYAZIT ÜNÜVERSİTESİNE SINIR VİLLA,2.750.000,13.12.2018,14400.0,Emlakçıdan,9+3,Kurumsal,ankara,cubuk,yenice
96,Çanakkale Küçükkuyu Satılık Müstakil Bahçeli Villalar,1.150.000,13.12.2018,300.0,Emlakçıdan,5+2,Kurumsal,canakkale,ayvacik,kucukkuyu
97,Ultra lüks Müstakil Havuzlu Full Eşyalı Villa,1.395.000,13.12.2018,270.0,Sahibinden,3+1,Bireysel,izmir,cesme,sifne
98,ÇAYYOLU GÜLCE VİLLALARINDA YAPILI ACİL SATILIK MÜSTAKİL VİLLA,1.690.000,13.12.2018,475.0,Emlakçıdan,6+1,Kurumsal,ankara,cankaya,prof
99,"Artemisten Güzelbahçede 1dönüm içinde,denize nazır,havuzlu villa",5.000.000,13.12.2018,500.0,Emlakçıdan,4+1,Kurumsal,izmir,guzelbahce,maltepe
100,KUĞU EVLERİ SATILIK 5+2 BAKIMLI MASRAFSIZ VİLLA TEPEÖREN,2.190.000,13.12.2018,355.0,Emlakçıdan,5+2,Kurumsal,istanbul,tuzla,tepeoren
101,DALAMAN ATAKENT MAHALLESİNDE SATILIK 160 M2 LÜX DUBLEX VİLLA,610.000,13.12.2018,165.0,Emlakçıdan,3+1,Kurumsal,mugla,dalaman,atakent
102,SAHİBİNDEN MUĞLA-BODRUM-YALIÇİFTLİK MÜSTAKİL SATILIK VİLLA,1.250.000,13.12.2018,300.0,Sahibinden,4+1,Bireysel,mugla,bodrum,yali
103,Palamutbükü KÖY KENT\u0027te Yeni Yapilmis Muhtesem Villa,895.000,13.12.2018,210.0,Emlakçıdan,3+1,Kurumsal,mugla,datca,yaka
104,AYVALIK ÇAMLIK LAKA\u0027DA SATILIK VİLLA,575.000,13.12.2018,340.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,sefa
105,EGE EMLAK\u0027TAN ALAÇATI ÇAMLIKYOLDA MÜSTAKİL HAVUZLU BAHÇELİ VİLLA,1.800.000,13.12.2018,140.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
106,KALYON EMLAKTAN BOYALIK\u0027TA SATILIK  SİTEDE 3+1 MASRAFSIZ VİLLA,875.000,13.12.2018,130.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,boyalik
107,Bodrum Ortakent\u0027te Satılık Müstakil Villa,1.090.000,13.12.2018,141.0,Emlakçıdan,4+1,Kurumsal,mugla,bodrum,ortakentyahsi
108,ALTINOLUK SATILIK DENİZ MANZARALI 4+2 SÜPER LÜKS VİLLA,800.000,13.12.2018,220.0,Emlakçıdan,4+2,Kurumsal,balikesir,edremit,altinoluk
109,Antalya YeşilBayır\u0027da Mikros Yakını 4+1 Dubleks Villa 330m\u0027,675.000,13.12.2018,330.0,Emlakçıdan,4+1,Bireysel,antalya,dosemealti,yesilbayir
110,HAKAN\u0027DAN GÜRE DE LÜKS VİLLA İDDAA EDİYORUZ BUNDAN UYGUNU YOK!!,650.000,13.12.2018,180.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
111,GÜRE\u0027DE DENİZ SIFIR KONUMDA SATILIK 3+1 ULTRA LÜKS VİLLALAR,750.000,13.12.2018,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
112,İNCEK\u0027DE 3.5 DÖNÜM ARSA ÜZERİNDE MUHTEŞEM MALİKANE,6.750.000,13.12.2018,3500.0,Emlakçıdan,8+2,Kurumsal,ankara,golbasi,incek
113,ÇEŞME ÇİFTLİKKÖYDE SATILIK 4+1 MÜSTAKİL HAVUZLU VİLLA,1.450.000,13.12.2018,150.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,ciftlik
114,"7+1 Müstakil Villa, Kocaeli Başiskele....",2.350.000,13.12.2018,455.0,Emlakçıdan,7+1,Kurumsal,kocaeli,basiskele,korfez
115,EGE EMLAK TAN ALAÇATI ÇAMLIKYOL HAVUZLU LÜKS SIFIR VİLLA KOD- 92,1.700.000,13.12.2018,140.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
116,EGE EMLAK TAN MAMURBABA MEVKİİ HAVUZLU MÜSTAKİL LÜKS VİLLA,3.850.000,13.12.2018,250.0,Emlakçıdan,5+1,Kurumsal,izmir,cesme,cakabey
117,TÜRKONUTDA ERSEGÜN VİLLALARINDA 5+1 330 M2 PIRIL PIRIL VİLLA,650.000,13.12.2018,330.0,Emlakçıdan,5+1,Kurumsal,ankara,cankaya,dodurga
118,ESKİ DATÇA\u0027da SATILIK HUZURLU Site İçerisinde BAKIMLI TAŞ VİLLA,650.000,13.12.2018,117.0,Emlakçıdan,2+1,Kurumsal,mugla,datca,resadiye
119,ALTINOLUK\u0027TA SATILIK BAĞIMSIZ MÜSTAKİL 3+1 ULTRA LÜKS VİLLA,700.000,13.12.2018,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,altinoluk
120,Çanakkale Küçükkuyu Satılık Müstakil Villa Separate villa,900.000,13.12.2018,180.0,Emlakçıdan,4+1,Kurumsal,canakkale,ayvacik,kucukkuyu
121,HAKAN\u0027DAN GÜRE DE**KAZDAĞLARININ KALBİNDE SIRADIŞI PROJE**,550.000,13.12.2018,130.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
122,ARTEMİS \u0027TEN 11 DÖNÜM İÇİNDE HAZIR 2 VİLLA+1 VİLLA ARSASI,27.500.000,13.12.2018,11000.0,Emlakçıdan,5+1,Kurumsal,izmir,narlidere,sahilevleri
123,SARIYER YENİ MAHALLE DE BOĞAZ MANZARALİ FIRSAT MÜSTAKİL VİLLA ,11.730.000,13.12.2018,550.0,Emlakçıdan,7+2,Kurumsal,istanbul,sariyer,yeni
124,Göktürk Kemer Country orman ve göl manzaralı 5+2 Lüks  villa,9.000.000,13.12.2018,300.0,Emlakçıdan,5+2,Kurumsal,istanbul,eyup,gokturk
125,ULAŞ EMLAK\u0027TAN 3+1 DUBLEKS BAKIMLI VİLLA 300 YERİNE 230 BİN TL,230.000,13.12.2018,135.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,kucukkoy
126,Sarıyer Maden Bölgesinde Yeni Projede 3+1 Bahçe dubleks,1.950.000,13.12.2018,160.0,Emlakçıdan,3+1,Kurumsal,istanbul,sariyer,maden
127,AYVADA EMLAK DAN YÜZME HAVUZLU SİTEDE  LÜKS DUBLEKS  VİLLALAR ,820.000,13.12.2018,175.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,sahil
128,EGE EMLAK TAN ÇAMLIKYOL MEVKİİ HAVUZLU MÜSTAKİL VİLLA KOD-142,890.000,13.12.2018,150.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,alacati
129,HAKAN\u0027DAN GÜRE DE DENİZE SIFIR SİTE İÇİNDE ULTRA LÜKS VİLLAA!!!,750.000,13.12.2018,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
130,ÇUBUKLU Sahilde FULL BOĞAZ MANZARALI Satılık KUPON VİLLA,18.000.000,13.12.2018,600.0,Emlakçıdan,6+2,Kurumsal,istanbul,beykoz,cubuklu
131,"Angora Evleri\u0027nde Tapulu,Full Yapılı,Büyük Bahçeli,3 Katlı Villa",3.275.000,13.12.2018,345.0,Emlakçıdan,6+1,Kurumsal,ankara,cankaya,mutlukent
132,ELIT GAYRİMENKUL\u0027DEN SOSYAL TESİSLİ SİTE İÇERİSİNDE VİLLA...,1.375.000,13.12.2018,320.0,Emlakçıdan,5+1,Kurumsal,istanbul,sariyer,zekeriyakoy
133,Seferihisar Ulamış Güzel Çiftlik Konutlarında Özel Yapım Villa,1.550.000,13.12.2018,500.0,Emlakçıdan,7+1,Kurumsal,izmir,seferihisar,ulamis
134,Kuşadası Fesci Konakları\u0027nda Bahçeli Villa !,1.290.000,13.12.2018,320.0,Emlakçıdan,5+2,Kurumsal,aydin,kusadasi,turkmen
135,ULAŞ EMLAK BAHÇELİ 3+1 SIFIR VİLLA 650 YERİNE SADECE 485 BİN TL,485.000,13.12.2018,135.0,Emlakçıdan,3+1,Kurumsal,balikesir,ayvalik,kucukkoy
136,EGE EMLAKTAN ÇEŞMEDE MARİNA MANZARALI MÜSTAKİL HAVUZLU SIFIR ,1.350.000,13.12.2018,280.0,Emlakçıdan,4+1,Kurumsal,izmir,cesme,musalla
137,LADİN SİTESİNDE KAPALI GARAJLI TAM MÜSTAKİL VİLLA,975.000,13.12.2018,400.0,Emlakçıdan,6+1,Kurumsal,ankara,cankaya,prof
138,PRIVATE GAYRİMENKUL DEN BOĞAZA NAZIR MALİKANE,160.000.000,13.12.2018,1200.0,Emlakçıdan,8+2,Kurumsal,istanbul,besiktas,bebek
139,KEMER MERKEZDE SATILIK 6 ODA 1 SALON VİLLA,3.500.000,13.12.2018,500.0,Emlakçıdan,6+1,Kurumsal,antalya,kemer,merkez
140,Denize Sifi Mustakil Site Icinde 4 Katli Villa,1.200,13.12.2018,400.0,Emlakçıdan,4+3,Bireysel,istanbul,beylikduzu,dereagzi
